(q1, q2) = (4, 5)
0 0.4 0.0001220703125 0.24416895871292196 0.21646611389022144
5 0.4 0.0001220703125 0.22379115085041473 0.2137467950095606
5 0.5 0.0001220703125 0.22379041390356877 0.2145393372632807
10 0.4 0.0001220703125 0.22039274853576346 0.19087825345664736
10 0.4 0.000244140625 0.21932612915891214 0.18776168114374026
10 0.4 0.00048828125 0.2175216782012171 0.18435900861672075
10 0.4 0.0009765625 0.2141690444325703 0.18372473134914785
10 0.4 0.001953125 0.2116689678498397 0.18376532652126756
20 0.4 0.0001220703125 0.19365852236495465 0.15734681996200395
20 0.4 0.000244140625 0.19077610193472644 0.15569846007229968
20 0.4 0.00048828125 0.19011900725624958 0.15468015639326999
20 0.4 0.0009765625 0.18965365120374317 0.15952289448200352
40 0.4 0.0001220703125 0.1124458877862711 0.07733258405048615
80 0.4 0.0001220703125 0.11007161358026822 0.07953933882294051
80 0.4 0.000244140625 0.1080271025804761 0.07244277401250349
80 0.4 0.00048828125 0.10801547843620063 0.0750044318455023
160 0.4 0.00048828125 0.10794918489893171 0.07371765482844504
320 0.4 0.00048828125 0.1078012501270416 0.07504517396187224
(0.1078012501270416, 0.07504517396187224)
